holeid,from,to,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE
MRCB21,572.5,573,9930.850333,11205.54715,-390.92975,15,22,0,1.1
MRCB21,573,573.5,9931.015648,11205.74439,-391.35825,15,22,0,0.58
MRCB21,573.5,574,9931.180963,11205.94164,-391.78675,15,22,0,0.18
MRCB21,574,574.5,9931.346278,11206.13888,-392.21525,15,18,0,1.25
MRCB21,574.5,575,9931.511593,11206.33613,-392.64375,15,18,0,0.4
MRCB21,575,575.5,9931.676908,11206.53337,-393.07225,15,18,0,1.29
MRCB21,575.5,576,9931.842223,11206.73062,-393.50075,15,18,0,1.21
MRCB21,576,576.5,9932.007538,11206.92786,-393.92925,15,18,0,1.32
MRCB21,576.5,577,9932.172853,11207.12511,-394.35775,15,18,0,1.24
MRCB21,577,577.5,9932.338168,11207.32235,-394.78625,15,18,0,1.04
MRCB21,577.5,578,9932.503483,11207.5196,-395.21475,15,18,0,0.71
MRCB21,578,578.5,9932.668798,11207.71684,-395.64325,15,18,0,0.56
MRCB21,578.5,579,9932.834113,11207.91409,-396.07175,15,18,0,0.45
MRCB21,579,579.5,9932.999428,11208.11133,-396.50025,15,20,0,0.29
MRCB21,579.5,580,9933.164743,11208.30858,-396.92875,15,20,0,0.52
MRCB21,580,580.5,9933.330058,11208.50582,-397.35725,8,20,2,0.33
MRCB21,580.5,581,9933.495373,11208.70307,-397.78575,8,20,2,0.31
MRCB21,581,581.5,9933.660688,11208.90031,-398.21425,8,20,2,0.25
MRCB21,581.5,582,9933.826003,11209.09756,-398.64275,8,20,2,0.16
MRCB21,582,582.5,9933.991318,11209.2948,-399.07125,8,20,2,0.28
MRCB21,582.5,583,9934.156633,11209.49205,-399.49975,8,20,2,1.08
MRCB21,583,583.5,9934.321948,11209.68929,-399.92825,2,23,0,1.18
MRCB21,583.5,584,9934.487263,11209.88654,-400.35675,2,23,0,0.67
MRCB21,584,584.5,9934.652578,11210.08378,-400.78525,2,23,0,0.65
MRCB21,584.5,585,9934.817893,11210.28103,-401.21375,2,20,0,0.42
MRCB21,585,585.5,9934.983208,11210.47827,-401.64225,2,20,0,0.16
MRCB21,585.5,586,9935.148523,11210.67552,-402.07075,2,20,0,0.32
MRCB21,586,586.5,9935.313838,11210.87276,-402.49925,2,22,2,0.33
MRCB21,586.5,587,9935.479153,11211.07001,-402.92775,2,22,2,0.38
MRCB21,587,587.5,9935.644468,11211.26725,-403.35625,2,22,2,0.38
MRCB21,587.5,588,9935.809783,11211.4645,-403.78475,2,22,2,0.88
MRCB21,588,588.5,9935.975098,11211.66174,-404.21325,2,22,2,0.42
MRCB21,588.5,589,9936.140413,11211.85899,-404.64175,2,22,2,0.21
MRCB21,589,589.5,9936.305728,11212.05623,-405.07025,2,22,2,0.06
MRCB21,589.5,590,9936.471043,11212.25348,-405.49875,2,22,2,0.6
MRCB21,590,590.5,9936.636358,11212.45072,-405.92725,2,22,2,0.81
MRCB21,590.5,591,9936.801673,11212.64797,-406.35575,2,22,2,0.32
MRCB21,591,591.5,9936.966988,11212.84521,-406.78425,2,16,2,0.06
MRCB21,591.5,592,9937.132303,11213.04246,-407.21275,2,16,2,0.06
MRCB21,592,592.5,9937.297618,11213.2397,-407.64125,2,8,0,0.02
MRCB21,592.5,593,9937.462933,11213.43695,-408.06975,2,8,0,0.01
MRCB21,593,593.5,9937.628248,11213.63419,-408.49825,2,8,0,0.01
MRCB21,593.5,594,9937.793563,11213.83144,-408.92675,2,8,0,0.01
MRCB21,594,594.5,9937.958878,11214.02868,-409.35525,2,8,2,0.04
MRCB21,594.5,595,9938.124193,11214.22593,-409.78375,2,8,2,0.01
MRCB21,595,595.5,9938.289508,11214.42317,-410.21225,2,8,2,0.08
MRCB21,595.5,596,9938.454823,11214.62042,-410.64075,2,8,2,0.01
MRCB21,596,596.5,9938.620138,11214.81766,-411.06925,2,8,2,0.01
MRCB21,596.5,597,9938.785453,11215.01491,-411.49775,2,8,2,0.01
MRCB21,597,597.5,9938.950768,11215.21215,-411.92625,2,8,2,0.01
MRCB21,597.5,598,9939.116083,11215.4094,-412.35475,2,8,2,0.01
MRCB21,598,598.5,9939.281398,11215.60664,-412.78325,11,15,0,0.01
MRCB21,598.5,599,9939.446713,11215.80389,-413.21175,11,15,0,0.01
MRCB21,599,599.5,9939.612028,11216.00113,-413.64025,11,15,0,0.01
MRCB21,599.5,600,9939.777343,11216.19838,-414.06875,11,15,0,0.01
